,city,date,cloudiness,humidity,lat,lng,maxtemp,windspeed
403,Lima,1589177454,90,68,-12.04,-77.03,69.8,13.87
404,Rtishchevo,1589177459,99,89,52.26,43.79,51.13,8.1
405,San Cristobal,1589177459,28,88,7.77,-72.22,67.8,3.11
406,Manono,1589177459,65,73,-7.3,27.42,73.38,8.21
407,Makokou,1589177459,94,96,0.57,12.86,70.54,0.94
408,Arlit,1589177460,1,17,18.74,7.39,84.22,6.71
409,Kropotkin,1589177460,87,69,45.44,40.58,57.0,17.83
410,Okhotsk,1589177460,67,55,59.38,143.3,46.44,6.78
411,Nome,1589177460,75,65,64.5,-165.41,48.0,13.87
412,Bam,1589177461,5,17,29.11,58.36,92.93,3.69
413,Anloga,1589177461,20,94,5.79,0.9,77.0,4.7
414,Wuwei,1589177462,0,19,37.93,102.64,66.56,7.74
415,Pozo Colorado,1589177462,20,65,-23.49,-58.8,73.11,7.36
416,Ibrā’,1589177462,0,9,22.69,58.53,99.55,2.77
417,Caceres,1589177463,100,93,39.52,-6.37,55.0,5.99
418,Cayenne,1589177463,75,100,4.93,-52.33,77.0,2.24
419,Hutchinson,1589177350,1,80,38.06,-97.93,44.01,4.74
420,Esim,1589177463,100,94,4.87,-2.24,73.87,3.94
421,Mnogovershinnyy,1589177464,82,57,53.94,139.92,51.46,15.01
422,Contai,1589177464,18,49,21.78,87.75,93.61,14.58
423,Villa Guerrero,1589177464,40,76,18.87,-99.65,73.0,3.38
424,Guozhen,1589177464,97,22,34.37,107.36,70.72,3.22
425,Kasongo,1589177465,98,90,-4.45,26.67,72.91,2.93
426,Port-Gentil,1589177465,75,94,-0.72,8.78,77.0,4.7
427,Lata,1589177465,85,97,40.16,-8.33,57.99,8.01
428,Parkersburg,1589177465,90,87,39.27,-81.56,46.4,10.29
429,Palagonia,1589177466,75,87,37.33,14.74,59.0,6.93
430,Westport,1589177343,1,71,41.14,-73.36,51.8,11.41
431,Vila Velha,1589177466,72,93,-20.33,-40.29,64.99,2.24
432,Vega de Alatorre,1589177466,27,81,20.03,-96.63,74.32,9.06
433,Swellendam,1589177467,29,87,-34.02,20.44,57.2,2.24
434,Baykit,1589177467,72,39,61.67,96.37,69.3,8.97
435,Nanning,1589177468,40,62,22.82,108.32,89.6,4.47
436,Sainte-Rose,1589177468,75,88,16.33,-61.7,75.2,5.82
437,Byron Bay,1589177468,40,63,-28.65,153.62,66.2,17.22
438,Huilong,1589177469,10,64,31.81,121.66,79.0,5.01
439,Sayyan,1589177469,2,26,15.17,44.32,68.13,9.1
440,Cap-Chat,1589177469,100,83,49.1,-66.68,36.0,24.02
441,Ishigaki,1589177469,75,94,24.34,124.16,80.6,8.05
442,Bonavista,1589177470,30,90,48.65,-53.11,33.71,21.83
443,Yichang,1589177209,89,68,30.71,111.28,62.44,6.08
444,Grand-Santi,1589177470,83,97,4.25,-54.38,72.79,1.14
445,Lyantonde,1589177470,100,94,-0.4,31.16,65.71,4.0
446,Pradera,1589177470,75,100,3.42,-76.24,69.8,2.71
447,Bāzpur,1589177471,0,20,29.15,79.12,101.68,4.9
448,Yichun,1589177471,100,36,47.7,128.9,57.96,8.72
449,Port Hardy,1589177471,20,62,50.7,-127.42,57.2,3.62
450,Fagersta,1589177531,2,79,60.0,15.79,37.0,11.41
451,Kemijärvi,1589177532,100,97,66.71,27.43,32.32,5.99
452,Benguela,1589177532,86,62,-12.58,13.41,78.21,5.57
453,Aden,1589177460,0,58,12.78,45.04,87.57,5.03
454,Ihosy,1589177532,65,73,-22.4,46.12,63.97,9.33
455,Chu,1589177533,0,34,43.6,73.76,77.49,2.1
456,Nizhniy Kislyay,1589177533,99,86,50.85,40.17,52.18,11.61
457,Mampong,1589177533,100,99,7.06,-1.4,68.81,3.76
458,Zvishavane,1589177533,22,73,-20.33,30.07,57.7,1.59
459,Saint-Pierre,1589177533,75,44,-21.34,55.48,77.0,14.99
460,Ridgecrest,1589177336,1,25,35.62,-117.67,73.99,16.11
461,Pimentel,1589177534,50,85,-6.84,-79.93,67.71,9.84
462,Kuandian,1589177534,0,33,40.73,124.78,64.87,20.98
463,Klaksvík,1589177534,81,93,62.23,-6.59,35.6,3.36
464,Mayo,1589177535,1,100,38.89,-76.51,55.0,6.93
465,Tsuruga,1589177535,3,50,35.65,136.06,81.0,1.01
466,Goderich,1589177535,100,90,43.75,-81.72,39.0,13.51
467,Vishnyakovskiye Dachi,1589177535,92,38,55.76,38.13,60.8,11.18
468,Alice Town,1589177536,100,88,25.72,-79.3,74.17,17.85
469,Barra do Garças,1589177536,7,87,-15.89,-52.26,67.87,1.92
470,San Luis,1589177476,0,40,-33.3,-66.34,55.87,18.77
471,Alta Gracia,1589177536,1,51,-31.65,-64.43,61.0,16.11
472,Bloemfontein,1589177412,0,100,-29.12,26.21,35.6,2.24
473,Gōtsuchō,1589177537,0,56,35.0,132.22,71.6,12.75
474,Assiniboia,1589177537,69,72,49.63,-105.98,36.86,6.64
475,Fortuna Foothills,1589177538,1,20,32.66,-114.41,82.99,17.22
476,Kaseda-shirakame,1589177538,20,54,31.42,130.32,78.8,10.29
477,Disna,1589177538,60,69,55.57,28.2,57.18,10.76
478,Paramonga,1589177538,84,86,-10.67,-77.83,66.33,7.72
479,Tura,1589177539,34,30,25.52,90.22,96.06,1.36
480,Quelimane,1589177539,40,88,-17.88,36.89,69.8,9.17
481,Kamloops,1589177539,20,58,50.67,-120.32,60.8,2.24
482,Iquitos,1589177540,40,94,-3.75,-73.25,77.0,1.7
483,Tucupita,1589177540,40,95,9.06,-62.05,71.53,3.04
484,Talcahuano,1589177540,84,100,-36.72,-73.12,46.4,4.7
485,Keetmanshoop,1589177541,0,42,-26.58,18.13,64.4,10.29
486,Mbini,1589177541,92,89,1.57,9.61,76.91,8.66
487,Sinnamary,1589177541,98,88,5.38,-52.95,78.12,13.87
488,Lakes Entrance,1589177541,0,57,-37.88,147.98,63.0,1.01
489,Show Low,1589177542,75,81,34.25,-110.03,51.8,9.17
490,Kisangani,1589177542,46,81,0.52,25.2,77.11,2.13
491,Raymond,1589177542,17,81,43.9,-70.47,41.0,6.87
492,Vanimo,1589177542,76,63,-2.67,141.3,87.01,2.82
493,Colac,1589177543,55,89,-38.33,143.58,55.99,1.01
494,Kulhudhuffushi,1589177543,100,78,6.62,73.07,83.3,17.94
495,Kushima,1589177543,20,73,31.46,131.23,78.8,14.99
496,Wittmund,1589177544,40,65,53.57,7.78,46.99,14.99
497,Ghanzi,1589177544,0,55,-21.57,21.78,55.35,8.39
498,Golyshmanovo,1589177544,38,51,56.4,68.37,73.78,9.04
499,Havelock,1589177505,1,81,34.88,-76.9,66.0,9.22
500,Norsup,1589177605,75,74,-16.07,167.38,80.6,5.82
501,Ibb,1589177605,2,26,13.97,44.18,74.19,4.36
502,Mossamedes,1589177605,30,46,-15.2,12.15,78.69,3.22
503,Rosetta,1589177606,0,93,31.4,30.42,62.6,4.47
504,Krasnogorsk,1589177606,25,33,55.82,37.32,59.0,6.71
505,Mlimba,1589177606,50,68,-8.8,35.82,75.78,2.44
506,Dahuk,1589177607,0,41,36.87,42.99,67.84,2.3
507,Alice Springs,1589177607,97,23,-23.7,133.88,64.4,11.41
508,Broome,1589177607,40,52,42.25,-75.83,46.4,5.82
509,Bukachacha,1589177525,95,37,52.98,116.92,54.12,12.86
510,Nālūt,1589177608,40,13,30.33,10.85,85.93,16.75
511,Havre-St-Pierre,1589177608,40,80,50.23,-63.6,35.6,14.99
512,Kokorevka,1589177608,0,44,52.59,34.28,60.8,2.24
513,Safford,1589177609,1,43,32.83,-109.71,71.6,8.05
514,Santa Rosa,1589177609,20,47,14.31,121.11,97.0,6.93
515,Dali,1589177609,0,26,25.7,100.18,80.29,6.06
516,Nhulunbuy,1589177609,75,58,-12.23,136.77,86.0,14.99
517,Tafalla,1589177610,40,87,42.53,-1.67,55.4,1.12
518,Southbridge,1589177611,56,81,42.08,-72.03,44.01,5.93
519,Lukovetskiy,1589177611,0,57,64.3,41.92,48.2,4.47
520,Carahue,1589177611,40,100,-38.7,-73.17,42.8,2.24
521,Henties Bay,1589177611,39,44,-22.12,14.28,71.94,3.11
522,Mahabalipuram,1589177612,40,59,12.63,80.17,95.0,9.17
523,Dryden,1589177612,1,45,49.78,-92.75,26.6,6.93
524,Arrondissement de Bressuire,1589177612,100,90,46.92,-0.5,48.0,22.79
525,Haukipudas,1589177613,75,93,65.18,25.35,34.0,6.93
526,Jutaí,1589177613,61,97,-5.18,-68.9,71.8,1.41
527,Kostanay,1589177341,100,47,53.17,63.58,75.2,4.47
528,Middelburg,1589177614,0,41,-25.78,29.46,54.72,2.17
529,Jalu,1589177614,22,17,29.03,21.55,78.01,15.23
530,Guerrero Negro,1589177497,100,84,27.98,-114.06,63.0,12.1
531,Nerchinsk,1589177525,94,35,51.98,116.58,57.0,17.49
532,Warangal,1589177615,7,22,18.0,79.58,102.58,5.46
533,Graaff-Reinet,1589177615,0,33,-32.25,24.53,69.01,1.01
534,Maniitsoq,1589177615,96,66,65.42,-52.9,43.32,15.08
535,Gorontalo,1589177616,52,62,0.54,123.06,88.79,9.22
536,Khani,1589177616,50,67,41.96,42.96,57.2,8.05
537,Salou,1589177616,23,77,41.08,1.14,62.01,10.29
538,Alexandria,1589177448,0,93,31.22,29.96,62.6,3.71
539,Mombetsu,1589177617,75,87,44.35,143.35,50.0,8.05
540,Iracoubo,1589177617,96,89,5.48,-53.2,77.95,13.78
541,Gorzów Wielkopolski,1589177617,86,78,52.74,15.23,51.01,5.01
542,Benjamín Aceval,1589177618,90,50,-24.97,-57.57,75.2,12.75
543,Dhidhdhoo,1589177619,100,78,6.88,73.1,82.53,18.07
544,Bonthe,1589177619,81,87,7.53,-12.51,78.8,4.47
545,Katherine,1589177619,0,17,-14.47,132.27,91.4,14.99
546,Shingū,1589177619,20,44,33.73,135.98,78.8,13.87
547,Wad Rāwah,1589177620,88,25,15.16,33.14,92.3,11.14
548,Sestri Levante,1589177620,100,96,44.27,9.4,62.01,6.42
549,Luanda,1589177620,75,94,-8.84,13.23,78.8,6.24
550,Lumeje,1589177681,91,68,-11.55,20.78,62.58,6.58
