,city,date,cloudiness,humidity,lat,lng,maxtemp,windspeed
91,Jacareacanga,1589176956,100,97,-6.22,-57.75,73.06,1.52
92,Coos Bay,1589176956,90,87,43.37,-124.22,53.6,5.82
93,Mataram,1589176956,40,55,-8.58,116.12,89.6,10.29
94,São Filipe,1589176956,3,77,14.9,-24.5,72.63,9.42
95,Hong Kong,1589176956,20,59,22.29,114.16,89.6,11.41
96,Coahuayana Viejo,1589176957,23,76,18.73,-103.68,71.6,1.5
97,Coquimbo,1589176957,0,87,-29.95,-71.34,50.0,2.24
98,Lorengau,1589176957,62,79,-2.02,147.27,85.33,9.73
99,Port Lincoln,1589176958,100,60,-34.73,135.87,61.09,13.15
100,Leningradskiy,1589177018,95,94,69.38,178.42,35.19,9.98
101,Acaraú,1589177018,37,87,-2.89,-40.12,75.02,9.64
102,Kahului,1589176908,20,69,20.89,-156.47,75.2,13.87
103,Mishelevka,1589177019,25,25,52.86,103.17,66.6,9.06
104,Russell,1589176834,1,87,32.35,-85.2,60.8,3.91
105,Tiksi,1589177019,99,97,71.69,128.87,30.72,15.66
106,Arraial do Cabo,1589177019,0,69,-22.97,-42.03,71.37,22.39
107,Carnarvon,1589177019,20,52,-24.87,113.63,78.28,12.41
108,Maamba,1589177020,57,57,-17.37,27.15,64.74,1.19
109,Roebourne,1589177020,10,23,-20.78,117.13,90.27,12.53
110,Faanui,1589177020,32,76,-16.48,-151.75,82.18,10.36
111,Itoman,1589177020,75,78,26.12,127.67,78.8,11.41
112,Kribi,1589177021,100,90,2.95,9.92,77.61,3.98
113,Moose Factory,1589177021,90,67,51.26,-80.61,19.4,16.11
114,Smithers,1589176810,1,32,54.78,-127.17,51.8,11.41
115,George Town,1589176873,20,75,5.41,100.34,89.6,5.82
116,Antofagasta,1589177022,90,72,-23.65,-70.4,60.8,2.24
117,Ipameri,1589177022,0,85,-17.72,-48.16,57.47,7.16
118,Verkhnyaya Tura,1589177022,100,53,58.36,59.82,64.62,7.99
119,Karratha,1589176854,0,22,-20.74,116.85,90.54,14.94
120,Saint Paul Harbor,1589177023,75,57,57.79,-152.41,50.0,10.29
121,Corinth,1589177023,67,61,37.94,22.96,66.0,3.0
122,Menongue,1589177023,100,70,-14.66,17.69,62.37,3.13
123,Along,1589177024,0,29,28.17,94.77,94.57,2.26
124,Ribeira Grande,1589177024,5,72,38.52,-28.7,57.54,17.05
125,Solnechnyy,1589177024,100,57,50.72,136.63,52.99,0.69
126,Truth or Consequences,1589177025,40,35,33.13,-107.25,69.8,10.29
127,Upernavik,1589177025,97,86,72.79,-56.15,14.23,11.77
128,Pālampur,1589177025,43,26,32.12,76.53,80.29,7.07
129,Hithadhoo,1589177026,86,77,-0.6,73.08,85.06,11.5
130,Bunia,1589177026,89,83,1.57,30.25,70.65,7.67
131,Yar-Sale,1589177026,91,99,66.83,70.83,33.76,5.82
132,Dunedin,1589177026,97,87,-45.87,170.5,52.0,7.0
133,Qaanaaq,1589177027,0,76,77.48,-69.36,6.84,8.21
134,Santiago,1589176769,12,81,-33.46,-70.65,46.4,3.36
135,Bathsheba,1589177027,40,78,13.22,-59.52,80.6,19.46
136,Ţahţā,1589177027,0,28,26.77,31.5,73.4,6.93
137,Ponta do Sol,1589177028,40,68,32.67,-17.1,64.4,5.82
